,direccion_casa,tamaño_casa,habitaciones_casa,Precio_Casa
941,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
942,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
943,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
944,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
945,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
946,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
947,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
948,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
949,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
950,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
951,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
952,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89 m² cubiertos,3,298000000.0
953,"El Poblado, Medellín, Antioquia",390 m² cubiertos,5,1750000000.0
954,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76 m² cubiertos,3,295000000.0
955,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103 m² cubiertos,3,310000000.0
956,"Boston, Medellín, Antioquia",269 m² cubiertos,5,820000000.0
957,"San Lucas, Medellín, Antioquia",139 m² cubiertos,3,790000000.0
958,"Calasanz, Medellín, Antioquia",120 m² cubiertos,3,590000000.0
959,"El Poblado/ Suroriente, Medellín, Antioquia",250 m² cubiertos,3,899900000.0
960,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
961,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
962,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
963,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
964,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
965,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
966,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
967,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
968,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
969,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
970,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
971,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
972,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
973,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
974,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
975,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
976,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
977,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
978,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
979,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
980,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
981,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
982,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
983,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
984,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
985,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
986,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
987,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
988,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
989,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
990,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
991,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
992,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
993,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
994,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
995,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
996,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
997,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
998,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
999,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
1000,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89 m² cubiertos,3,298000000.0
1001,"El Poblado, Medellín, Antioquia",390 m² cubiertos,5,1750000000.0
1002,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76 m² cubiertos,3,295000000.0
1003,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103 m² cubiertos,3,310000000.0
1004,"Boston, Medellín, Antioquia",269 m² cubiertos,5,820000000.0
1005,"San Lucas, Medellín, Antioquia",139 m² cubiertos,3,790000000.0
1006,"Calasanz, Medellín, Antioquia",120 m² cubiertos,3,590000000.0
1007,"El Poblado/ Suroriente, Medellín, Antioquia",250 m² cubiertos,3,899900000.0
1008,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
1009,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
1010,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
1011,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
1012,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
1013,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
1014,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
1015,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
1016,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
1017,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
1018,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
1019,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
1020,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
1021,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
1022,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
1023,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
1024,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
1025,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
1026,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
1027,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
1028,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
1029,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
1030,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
1031,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
1032,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
1033,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
1034,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
1035,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
1036,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
1037,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
1038,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
1039,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
1040,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
1041,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
1042,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
1043,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
1044,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
1045,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
1046,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
1047,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
1048,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89 m² cubiertos,3,298000000.0
1049,"El Poblado, Medellín, Antioquia",390 m² cubiertos,5,1750000000.0
1050,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76 m² cubiertos,3,295000000.0
1051,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103 m² cubiertos,3,310000000.0
1052,"Boston, Medellín, Antioquia",269 m² cubiertos,5,820000000.0
1053,"San Lucas, Medellín, Antioquia",139 m² cubiertos,3,790000000.0
1054,"Calasanz, Medellín, Antioquia",120 m² cubiertos,3,590000000.0
1055,"El Poblado/ Suroriente, Medellín, Antioquia",250 m² cubiertos,3,899900000.0
1056,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
1057,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
1058,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
1059,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
1060,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
1061,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
1062,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
1063,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
1064,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
1065,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
1066,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
1067,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
1068,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
1069,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
1070,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
1071,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
1072,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
1073,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
1074,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
1075,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
1076,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
1077,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
1078,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
1079,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
1080,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
1081,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
1082,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
1083,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
1084,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
1085,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
1086,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
1087,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
1088,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
1089,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
1090,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
1091,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
1092,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
1093,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
1094,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
1095,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
1096,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89 m² cubiertos,3,298000000.0
1097,"El Poblado, Medellín, Antioquia",390 m² cubiertos,5,1750000000.0
1098,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76 m² cubiertos,3,295000000.0
1099,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103 m² cubiertos,3,310000000.0
1100,"Boston, Medellín, Antioquia",269 m² cubiertos,5,820000000.0
1101,"San Lucas, Medellín, Antioquia",139 m² cubiertos,3,790000000.0
1102,"Calasanz, Medellín, Antioquia",120 m² cubiertos,3,590000000.0
1103,"El Poblado/ Suroriente, Medellín, Antioquia",250 m² cubiertos,3,899900000.0
1104,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
1105,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
1106,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
1107,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
1108,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
1109,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
1110,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
1111,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
1112,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
1113,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
1114,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
1115,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
1116,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
1117,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
1118,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
1119,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
1120,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
1121,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
1122,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
1123,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
1124,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
1125,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
1126,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
1127,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
1128,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
1129,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
1130,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
1131,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
1132,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
1133,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
1134,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
1135,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
1136,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
1137,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
1138,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
1139,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
1140,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
1141,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
1142,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
1143,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
1144,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89 m² cubiertos,3,298000000.0
1145,"El Poblado, Medellín, Antioquia",390 m² cubiertos,5,1750000000.0
1146,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76 m² cubiertos,3,295000000.0
1147,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103 m² cubiertos,3,310000000.0
1148,"Boston, Medellín, Antioquia",269 m² cubiertos,5,820000000.0
1149,"San Lucas, Medellín, Antioquia",139 m² cubiertos,3,790000000.0
1150,"Calasanz, Medellín, Antioquia",120 m² cubiertos,3,590000000.0
1151,"El Poblado/ Suroriente, Medellín, Antioquia",250 m² cubiertos,3,899900000.0
1152,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
1153,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
1154,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
1155,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
1156,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
1157,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
1158,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
1159,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
1160,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
1161,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
1162,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
1163,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
1164,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
1165,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
1166,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
1167,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
1168,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
1169,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
1170,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
1171,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
1172,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
1173,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
1174,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
1175,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
1176,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
1177,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
1178,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
1179,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
1180,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
1181,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
1182,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
1183,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
1184,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
1185,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
1186,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
1187,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
1188,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
1189,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
1190,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
1191,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
1192,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89 m² cubiertos,3,298000000.0
1193,"El Poblado, Medellín, Antioquia",390 m² cubiertos,5,1750000000.0
1194,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76 m² cubiertos,3,295000000.0
1195,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103 m² cubiertos,3,310000000.0
1196,"Boston, Medellín, Antioquia",269 m² cubiertos,5,820000000.0
1197,"San Lucas, Medellín, Antioquia",139 m² cubiertos,3,790000000.0
1198,"Calasanz, Medellín, Antioquia",120 m² cubiertos,3,590000000.0
1199,"El Poblado/ Suroriente, Medellín, Antioquia",250 m² cubiertos,3,899900000.0
1200,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
1201,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
1202,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
1203,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
1204,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
1205,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
1206,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
1207,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
1208,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
1209,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
1210,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
1211,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
1212,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
1213,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
1214,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
1215,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
1216,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
1217,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
1218,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
1219,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
1220,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
1221,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
1222,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
1223,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
1224,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
1225,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
1226,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
1227,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
1228,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
1229,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
1230,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
1231,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
1232,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
1233,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
1234,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
1235,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
1236,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
1237,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
1238,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
1239,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
