,direccion_casa,tamaño_casa,habitaciones_casa,Precio_Casa
512,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
513,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
514,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
515,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
516,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
517,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
518,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
519,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
520,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89 m² cubiertos,3,298000000.0
521,"El Poblado, Medellín, Antioquia",390 m² cubiertos,5,1750000000.0
522,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76 m² cubiertos,3,295000000.0
523,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103 m² cubiertos,3,310000000.0
524,"Boston, Medellín, Antioquia",269 m² cubiertos,5,820000000.0
525,"San Lucas, Medellín, Antioquia",139 m² cubiertos,3,790000000.0
526,"Calasanz, Medellín, Antioquia",120 m² cubiertos,3,590000000.0
527,"El Poblado/ Suroriente, Medellín, Antioquia",250 m² cubiertos,3,899900000.0
528,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
529,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
530,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
531,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
532,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
533,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
534,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
535,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
536,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
537,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
538,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
539,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
540,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
541,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
542,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
543,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
544,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
545,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
546,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
547,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
548,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
549,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
550,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
551,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
552,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
553,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
554,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
555,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
556,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
557,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
558,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
559,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
560,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
561,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
562,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
563,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
564,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
565,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
566,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
567,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
568,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89 m² cubiertos,3,298000000.0
569,"El Poblado, Medellín, Antioquia",390 m² cubiertos,5,1750000000.0
570,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76 m² cubiertos,3,295000000.0
571,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103 m² cubiertos,3,310000000.0
572,"Boston, Medellín, Antioquia",269 m² cubiertos,5,820000000.0
573,"San Lucas, Medellín, Antioquia",139 m² cubiertos,3,790000000.0
574,"Calasanz, Medellín, Antioquia",120 m² cubiertos,3,590000000.0
575,"El Poblado/ Suroriente, Medellín, Antioquia",250 m² cubiertos,3,899900000.0
576,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
577,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
578,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
579,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
580,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
581,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
582,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
583,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
584,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
585,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
586,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
587,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
588,"Belén La Palma, Medellín, Antioquia",183 m² cubiertos,4,650000000.0
589,"Calazans, Medellín, Antioquia",195 m² cubiertos,4,980000000.0
590,"Castropol, Medellín, Antioquia",203 m² cubiertos,3,850000000.0
591,"Robledo, Medellín, Antioquia",131 m² cubiertos,4,500000000.0
592,"El Poblado, Medellín, Antioquia",554 m² cubiertos,5,4450000000.0
593,"Las Palmas, Medellín, Antioquia","3,000 m² cubiertos",3,4000000000.0
594,"Belén Malibú, Medellín, Antioquia",280 m² cubiertos,3,830000000.0
595,"Castropol, El Poblado, Medellín, Antioquia",188 m² cubiertos,4,940000000.0
596,"Toscana, Medellín, Antioquia",216 m² cubiertos,5,495000000.0
597,"Laureles, Medellín, Antioquia",220 m² cubiertos,7,1500000000.0
598,"Belén Las Violetas, Medellín, Antioquia",90 m² cubiertos,3,192000000.0
599,"San Cristóbal, Medellín, Antioquia",173 m² cubiertos,3,800000000.0
600,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130 m² cubiertos,4,360000000.0
601,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47 m² cubiertos,2,85000000.0
602,"San Joaquín, Medellín, Antioquia",128 m² cubiertos,5,420000000.0
603,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,6,7000000000.0
604,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74 m² cubiertos,4,381000000.0
605,"Poblado Alto De Las Palmas, Medellín, Antioquia",432 m² cubiertos,3,3500000000.0
606,"Robledo, Medellín, Antioquia",110 m² cubiertos,4,380000000.0
607,"El Poblado, Medellín, Antioquia",970 m² cubiertos,7,7200000000.0
608,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64 m² cubiertos,3,230000000.0
609,"El Poblado, Medellín, Antioquia",700 m² cubiertos,4,6500000000.0
610,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231 m² cubiertos,5,445000000.0
611,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77 m² cubiertos,3,230000000.0
612,"El Poblado, Medellín, Antioquia",136 m² cubiertos,3,820000000.0
613,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179 m² cubiertos,5,650000000.0
614,"Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528 m² cubiertos,4,3800000000.0
615,"El Poblado, Medellín, Antioquia",521 m² cubiertos,4,2500000000.0
616,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89 m² cubiertos,3,298000000.0
617,"El Poblado, Medellín, Antioquia",390 m² cubiertos,5,1750000000.0
618,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76 m² cubiertos,3,295000000.0
619,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103 m² cubiertos,3,310000000.0
620,"Boston, Medellín, Antioquia",269 m² cubiertos,5,820000000.0
621,"San Lucas, Medellín, Antioquia",139 m² cubiertos,3,790000000.0
622,"Calasanz, Medellín, Antioquia",120 m² cubiertos,3,590000000.0
623,"El Poblado/ Suroriente, Medellín, Antioquia",250 m² cubiertos,3,899900000.0
624,"San Cristóbal, Medellín, Antioquia",200 m² cubiertos,3,790000000.0
625,"Belén, Medellín, Antioquia",151 m² cubiertos,3,480000000.0
626,"Las Palmas, Medellín, Antioquia",900 m² cubiertos,4,3500000000.0
627,"El Poblado, Medellín, Antioquia",326 m² cubiertos,4,1300000000.0
628,"Las Playas, Medellín, Antioquia",220 m² cubiertos,5,670000000.0
629,"El Poblado, Medellín, Antioquia",360 m² cubiertos,5,1600000000.0
630,"Las Palmas, Medellín, Antioquia",540 m² cubiertos,3,4300000000.0
631,"San Lucas, Medellín, Antioquia",420 m² cubiertos,4,1100000000.0
632,"El Poblado, Medellín, Antioquia",600 m² cubiertos,6,3700000000.0
633,"Belén Miravalle, Medellín, Antioquia",160 m² cubiertos,4,700000000.0
634,"Belén La Mota, Medellín, Antioquia",140 m² cubiertos,4,715000000.0
635,"Poblado San Lucas, Medellín, Antioquia",231 m² cubiertos,4,1350000000.0
