,Unnamed: 0,imagen_url,Titulo_casa,direccion_casa,tamaño_casa,habitaciones_casa,Precio_Casa,habitaciones_categoricas
618,618,https://http2.mlstatic.com/D_NQ_NP_933262-MCO54007833209_022023-W.jpg,Casa En Venta  Buenos Aires ,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103.0,3,-0.6763765881212561,3 habitaciones
619,619,https://http2.mlstatic.com/D_NQ_NP_863520-MCO52710622162_122022-W.jpg,"Venta Casa, Barrio Bostón, Medellín.","Boston, Medellín, Antioquia",269.0,5,-0.398767329216182,5 habitaciones
620,620,https://http2.mlstatic.com/D_NQ_NP_991287-MCO70041498910_062023-W.jpg,"Venta De Casa En El Poblado, Medellín Antioquia ","San Lucas, Medellín, Antioquia",139.0,3,-0.41509728562236287,3 habitaciones
621,621,https://http2.mlstatic.com/D_NQ_NP_602266-MCO69324874241_052023-W.jpg,Casa Unidad Cerrada Poblado 250 Mts,"El Poblado/ Suroriente, Medellín, Antioquia",250.0,3,-0.3552752119877204,3 habitaciones
622,622,https://http2.mlstatic.com/D_NQ_NP_743847-MCO70177703357_062023-W.jpg,Casa Unifamiliar En Venta Calasanz Medellin (n),"Calasanz, Medellín, Antioquia",120.0,3,-0.5239636616635683,3 habitaciones
623,623,https://http2.mlstatic.com/D_NQ_NP_986887-MCO50225187974_062022-W.jpg,Venta Casa En Prado Centro,"Prado Centro, Medellín, Antioquia",164.0,7,-0.6110567624965328,6 o más habitaciones
624,624,https://http2.mlstatic.com/D_NQ_NP_632005-MCO71250238977_082023-W.jpg,Venta De Casa En Medellin San Cristobal 1.100 Metros De Lote,"San Cristóbal, Medellín, Antioquia",200.0,3,-0.41509728562236287,3 habitaciones
625,625,https://http2.mlstatic.com/D_NQ_NP_728084-MCO71236551994_082023-W.jpg,Casa En Venta En Belen Los Alpes,"Belén, Medellín, Antioquia",151.0,3,-0.5838401684862314,3 habitaciones
626,626,https://http2.mlstatic.com/D_NQ_NP_814420-MCO71116170126_082023-W.jpg,Se Vende Casa Duplex En Santa Monica ,"Tv. 38 #89a-24, Cristóbal, Medellín, Antioquia, Colombia, Santa Mónica, Medellín, Antioquia",174.0,3,-0.43687056083060394,3 habitaciones
627,627,https://http2.mlstatic.com/D_NQ_NP_982844-MCO71299251573_082023-W.jpg,Casa En Venta En Medellín Sector Poblado ,"El Poblado, Medellín, Antioquia",326.0,4,-0.1374880267172887,4 habitaciones
628,628,https://http2.mlstatic.com/D_NQ_NP_907033-MCO71174472307_082023-W.jpg,Venta Casa En La America ,"Calle 44a #89-40, El Danubio, Medellín, Antioquia, Colombia, El Danubio, Medellín, Antioquia",182.0,3,-0.5457369368718095,3 habitaciones
629,629,https://http2.mlstatic.com/D_NQ_NP_734234-MCO71257636408_082023-W.jpg,Casa Campestre En Venta  Medellín Sector Palmas,"Las Palmas, Medellín, Antioquia",900.0,4,1.0600421097359722,4 habitaciones
630,630,https://http2.mlstatic.com/D_NQ_NP_918057-MCO71257585630_082023-W.jpg,Casa En Venta Medellín Sector San Lucas,"San Lucas, Medellín, Antioquia",420.0,4,-0.24635440275849427,4 habitaciones
631,631,https://http2.mlstatic.com/D_NQ_NP_901105-MCO71277674193_082023-W.jpg,Casa En Venta Medellin Sector Poblado,"El Poblado, Medellín, Antioquia",600.0,6,1.1689084857771777,6 o más habitaciones
632,632,https://http2.mlstatic.com/D_NQ_NP_658027-MCO71257402372_082023-W.jpg,Casa En Venta En Medellín  Sector Carlazanz,"Calazans, Medellín, Antioquia",195.0,4,-0.31167422838321757,4 habitaciones
633,633,https://http2.mlstatic.com/D_NQ_NP_724157-MCO71236557412_082023-W.jpg,Casa En Venta En Medellín Sector Palmas,"Las Palmas, Medellín, Antioquia",540.0,3,1.4955076139007943,3 habitaciones
634,634,https://http2.mlstatic.com/D_NQ_NP_868683-MCO71236556568_082023-W.jpg,Casa En Venta Medellin Sector Belen La Palma,"Belén La Palma, Medellín, Antioquia",183.0,4,-0.4913037488512067,4 habitaciones
635,635,https://http2.mlstatic.com/D_NQ_NP_868439-MCO71155111315_082023-W.jpg,Venta Casa El Nogal Los Almendros ,"Cra. 80a #72, Laureles - Estadio, Medellín, Antioquia, Colombia, Belén Nogal - Los Almendros, Medellín, Antioquia",103.0,3,-0.5522689194342818,3 habitaciones
636,636,https://http2.mlstatic.com/D_NQ_NP_934474-MCO71257389416_082023-W.jpg,Casa En Venta Poblado Sector Castropol,"Castropol, Medellín, Antioquia",203.0,3,-0.3824373728100012,3 habitaciones
637,637,https://http2.mlstatic.com/D_NQ_NP_736466-MCO71277680371_082023-W.jpg,Casa En Venta En Medellín Sector Robledo,"Robledo, Medellín, Antioquia",131.0,4,-0.5729535308821109,4 habitaciones
638,638,https://http2.mlstatic.com/D_NQ_NP_775557-MCO71299267407_082023-W.jpg,Casa En Venta Medellin Sector Poblado,"El Poblado, Medellín, Antioquia",554.0,5,1.5771573959316985,5 habitaciones
639,639,https://http2.mlstatic.com/D_NQ_NP_600902-MCO71299088443_082023-W.jpg,Casa Duplex En Venta  Medellin Sector Poblado ,"El Poblado, Medellín, Antioquia",360.0,5,0.025811537344519575,5 habitaciones
640,640,https://http2.mlstatic.com/D_NQ_NP_826707-MCO71277672025_082023-W.jpg,Casa En Venta En Medellín Sector Palmas,"Las Palmas, Medellín, Antioquia",3.0,3,1.3322080498389859,3 habitaciones
641,641,https://http2.mlstatic.com/D_NQ_NP_743275-MCO71299254927_082023-W.jpg,Casa En Venta Medellin Sector Toscana,"Toscana, Medellín, Antioquia",216.0,5,-0.575675190283141,5 habitaciones
642,642,https://http2.mlstatic.com/D_NQ_NP_688748-MCO71299709533_082023-W.jpg,Casa En Venta En Medellin Sector Las Playas,"Las Playas, Medellín, Antioquia",220.0,5,-0.48041711124708614,5 habitaciones
643,643,https://http2.mlstatic.com/D_NQ_NP_601104-MCO71277691353_082023-W.jpg,Casa  En Venta Medellin Sector Laureles,"Laureles, Medellín, Antioquia",220.0,7,-0.02862165067608319,6 o más habitaciones
644,644,https://http2.mlstatic.com/D_NQ_NP_644676-MCO71209652082_082023-W.jpg,Venta De Casa 90 Metros Segundo Piso En Belen Las Violetas ,"Belén Las Violetas, Medellín, Antioquia",90.0,3,-0.7406077499855674,3 habitaciones
645,645,https://http2.mlstatic.com/D_NQ_NP_918753-MCO71209643112_082023-W.jpg,Venta De Casa En San Cristobal Medellin 970 Metros,"San Cristóbal, Medellín, Antioquia",173.0,3,-0.4096539668203026,3 habitaciones
